seed,mode,turns,winner,seat
267,selfplay,300,AI 1,1
268,selfplay,300,AI 2,1
269,selfplay,300,AI 1,3
270,selfplay,300,AI 4,1
271,selfplay,300,AI 3,3
272,selfplay,300,AI 4,3
273,selfplay,300,AI 3,1
274,selfplay,300,AI 4,1
275,selfplay,300,AI 4,0
276,selfplay,300,AI 2,1
277,selfplay,300,AI 4,2
278,selfplay,300,AI 3,0
279,selfplay,300,AI 3,3
280,selfplay,300,AI 3,2
281,selfplay,300,AI 3,1
282,selfplay,300,AI 4,1
283,selfplay,300,AI 4,0
284,selfplay,300,AI 2,1
285,selfplay,300,AI 2,0
286,selfplay,300,AI 2,3
287,selfplay,300,AI 4,0
288,selfplay,300,AI 1,0
289,selfplay,300,AI 2,0
290,selfplay,300,AI 4,1
291,selfplay,300,AI 1,1
292,selfplay,300,AI 3,2
293,selfplay,300,AI 4,2
294,selfplay,300,AI 4,1
295,selfplay,300,AI 4,0
296,selfplay,300,AI 1,0
297,selfplay,300,AI 1,3
298,selfplay,300,AI 2,3
299,selfplay,300,AI 2,2
300,selfplay,300,AI 1,0
301,selfplay,300,AI 1,3
302,selfplay,300,AI 3,0
303,selfplay,300,AI 3,3
304,selfplay,300,AI 2,1
305,selfplay,300,AI 2,0
306,selfplay,300,AI 1,2
307,selfplay,300,AI 4,0
308,selfplay,300,AI 2,1
309,selfplay,300,AI 3,1
310,selfplay,300,AI 4,1
311,selfplay,300,AI 4,0
312,selfplay,300,AI 1,0
313,selfplay,300,AI 4,2
314,selfplay,300,AI 2,3
315,selfplay,300,AI 3,3
316,selfplay,300,AI 2,1
317,selfplay,300,AI 4,2
318,selfplay,300,AI 2,3
319,selfplay,300,AI 2,2
320,selfplay,300,AI 3,2
321,selfplay,300,AI 3,1
322,selfplay,300,AI 3,0
323,selfplay,300,AI 1,1
324,selfplay,300,AI 3,2
325,selfplay,300,AI 4,2
326,selfplay,300,AI 4,1
327,selfplay,300,AI 4,0
328,selfplay,300,AI 3,2
329,selfplay,300,AI 4,2
330,selfplay,300,AI 3,0
331,selfplay,300,AI 1,1
332,selfplay,300,AI 1,0
333,selfplay,300,AI 1,3
334,selfplay,300,AI 1,2
335,selfplay,300,AI 2,2
336,selfplay,300,AI 4,3
337,selfplay,300,AI 1,3
338,selfplay,300,AI 1,2
339,selfplay,300,AI 2,2
340,selfplay,300,AI 3,2
341,selfplay,300,AI 1,3
342,selfplay,300,AI 1,2
343,selfplay,300,AI 4,0
344,selfplay,300,AI 3,2
345,selfplay,300,AI 3,1
346,selfplay,300,AI 4,1
347,selfplay,300,AI 2,2
348,selfplay,300,AI 1,0
349,selfplay,300,AI 3,1
350,selfplay,300,AI 2,3
351,selfplay,300,AI 1,1
352,selfplay,300,AI 4,3
353,selfplay,300,AI 3,1
354,selfplay,300,AI 1,2
355,selfplay,300,AI 4,0
356,selfplay,300,AI 1,0
357,selfplay,300,AI 4,2
358,selfplay,300,AI 4,1
359,selfplay,300,AI 3,3
360,selfplay,300,AI 1,0
361,selfplay,300,AI 4,2
362,selfplay,300,AI 2,3
363,selfplay,300,AI 4,0
364,selfplay,300,AI 2,1
365,selfplay,300,AI 1,3
366,selfplay,300,AI 3,0
367,selfplay,300,AI 4,0
368,selfplay,300,AI 4,3
369,selfplay,300,AI 3,1
370,selfplay,300,AI 4,1
371,selfplay,300,AI 2,2
372,selfplay,300,AI 4,3
373,selfplay,300,AI 2,0
374,selfplay,300,AI 1,2
375,selfplay,300,AI 4,0
376,selfplay,300,AI 3,2
377,selfplay,300,AI 4,2
378,selfplay,300,AI 1,2
379,selfplay,300,AI 3,3
380,selfplay,300,AI 4,3
381,selfplay,300,AI 4,2
382,selfplay,300,AI 1,2
383,selfplay,300,AI 2,2
384,selfplay,300,AI 3,2
385,selfplay,300,AI 4,2
386,selfplay,300,AI 1,2
387,selfplay,300,AI 3,3
388,selfplay,300,AI 1,0
389,selfplay,300,AI 3,1
390,selfplay,300,AI 3,0
391,selfplay,300,AI 4,0
392,selfplay,300,AI 1,0
393,selfplay,300,AI 1,3
394,selfplay,300,AI 2,3
395,selfplay,300,AI 3,3
396,selfplay,300,AI 1,0
397,selfplay,300,AI 4,2
398,selfplay,300,AI 3,0
399,selfplay,300,AI 2,2
400,selfplay,300,AI 4,3
401,selfplay,300,AI 1,3
402,selfplay,300,AI 1,2
403,selfplay,300,AI 3,3
404,selfplay,300,AI 1,0
405,selfplay,300,AI 4,2
406,selfplay,300,AI 2,3
407,selfplay,300,AI 4,0
408,selfplay,300,AI 3,2
409,selfplay,300,AI 2,0
410,selfplay,300,AI 2,3
411,selfplay,300,AI 1,1
412,selfplay,300,AI 2,1
413,selfplay,300,AI 3,1
414,selfplay,300,AI 1,2
415,selfplay,300,AI 2,2
416,selfplay,300,AI 2,1
417,selfplay,300,AI 1,3
418,selfplay,300,AI 3,0
419,selfplay,300,AI 1,1
420,selfplay,300,AI 3,2
421,selfplay,300,AI 4,2
422,selfplay,300,AI 1,2
423,selfplay,300,AI 3,3
424,selfplay,300,AI 1,0
425,selfplay,300,AI 1,3
426,selfplay,300,AI 2,3
427,selfplay,300,AI 1,1
428,selfplay,300,AI 4,3
429,selfplay,300,AI 3,1
430,selfplay,300,AI 1,2
431,selfplay,300,AI 2,2
432,selfplay,300,AI 1,0
433,selfplay,300,AI 2,0
434,selfplay,300,AI 3,0
435,selfplay,300,AI 4,0
436,selfplay,300,AI 4,3
437,selfplay,300,AI 2,0
438,selfplay,300,AI 3,0
439,selfplay,300,AI 4,0
440,selfplay,300,AI 1,0
441,selfplay,300,AI 1,3
442,selfplay,300,AI 1,2
443,selfplay,300,AI 3,3
444,selfplay,300,AI 4,3
445,selfplay,300,AI 3,1
446,selfplay,300,AI 2,3
447,selfplay,300,AI 2,2
448,selfplay,300,AI 3,2
449,selfplay,300,AI 3,1
450,selfplay,300,AI 4,1
451,selfplay,300,AI 3,3
452,selfplay,300,AI 4,3
453,selfplay,300,AI 2,0
454,selfplay,300,AI 1,2
455,selfplay,300,AI 3,3
456,selfplay,300,AI 4,3
457,selfplay,300,AI 3,1
458,selfplay,300,AI 2,3
459,selfplay,300,AI 3,3
460,selfplay,300,AI 2,1
461,selfplay,300,AI 3,1
462,selfplay,300,AI 4,1
463,selfplay,300,AI 1,1
464,selfplay,300,AI 1,0
465,selfplay,300,AI 1,3
466,selfplay,300,AI 4,1
467,selfplay,300,AI 3,3
468,selfplay,300,AI 3,2
469,selfplay,300,AI 1,3
470,selfplay,300,AI 2,3
471,selfplay,300,AI 2,2
472,selfplay,300,AI 3,2
473,selfplay,300,AI 1,3
474,selfplay,300,AI 4,1
475,selfplay,300,AI 1,1
476,selfplay,300,AI 1,0
477,selfplay,300,AI 2,0
478,selfplay,300,AI 3,0
479,selfplay,300,AI 1,1
480,selfplay,300,AI 1,0
481,selfplay,300,AI 4,2
482,selfplay,300,AI 2,3
483,selfplay,300,AI 2,2
484,selfplay,300,AI 3,2
485,selfplay,300,AI 1,3
486,selfplay,300,AI 1,2
487,selfplay,300,AI 4,0
488,selfplay,300,AI 4,3
489,selfplay,300,AI 4,2
490,selfplay,300,AI 1,2
491,selfplay,300,AI 1,1
492,selfplay,300,AI 2,1
493,selfplay,300,AI 2,0
494,selfplay,300,AI 4,1
495,selfplay,300,AI 2,2
496,selfplay,300,AI 1,0
497,selfplay,300,AI 2,0
498,selfplay,300,AI 4,1
499,selfplay,300,AI 1,1
500,selfplay,300,AI 3,2
501,selfplay,300,AI 4,2
502,selfplay,300,AI 3,0
503,selfplay,300,AI 4,0
504,selfplay,300,AI 4,3
505,selfplay,300,AI 4,2
506,selfplay,300,AI 3,0
507,selfplay,300,AI 4,0
508,selfplay,300,AI 1,0
509,selfplay,300,AI 4,2
510,selfplay,300,AI 1,2
511,selfplay,300,AI 1,1
512,selfplay,300,AI 2,1
513,selfplay,300,AI 4,2
514,selfplay,300,AI 1,2
515,selfplay,300,AI 4,0
516,selfplay,300,AI 3,2
517,selfplay,300,AI 4,2
518,selfplay,300,AI 1,2
519,selfplay,300,AI 3,3
520,selfplay,300,AI 4,3
521,selfplay,300,AI 2,0
522,selfplay,300,AI 4,1
523,selfplay,300,AI 2,2
524,selfplay,300,AI 2,1
525,selfplay,300,AI 2,0
526,selfplay,300,AI 1,2
527,selfplay,300,AI 2,2
528,selfplay,300,AI 1,0
529,selfplay,300,AI 4,2
530,selfplay,300,AI 3,0
531,selfplay,300,AI 4,0
532,selfplay,300,AI 2,1
533,selfplay,300,AI 1,3
534,selfplay,300,AI 4,1
535,selfplay,300,AI 3,3
536,selfplay,300,AI 1,0
537,selfplay,300,AI 3,1
538,selfplay,300,AI 3,0
539,selfplay,300,AI 1,1
540,selfplay,300,AI 2,1
541,selfplay,300,AI 2,0
542,selfplay,300,AI 2,3
543,selfplay,300,AI 2,2
544,selfplay,300,AI 3,2
545,selfplay,300,AI 4,2
