seed,mode,turns,winner,seat
270,selfplay,300,AI 2,3
271,selfplay,300,AI 2,2
272,selfplay,300,AI 1,0
273,selfplay,300,AI 3,1
274,selfplay,300,AI 3,0
275,selfplay,300,AI 4,0
276,selfplay,300,AI 4,3
277,selfplay,300,AI 2,0
278,selfplay,300,AI 2,3
279,selfplay,300,AI 2,2
280,selfplay,300,AI 3,2
281,selfplay,300,AI 4,2
282,selfplay,300,AI 3,0
283,selfplay,300,AI 1,1
284,selfplay,300,AI 2,1
285,selfplay,300,AI 3,1
286,selfplay,300,AI 1,2
287,selfplay,300,AI 1,1
288,selfplay,300,AI 1,0
289,selfplay,300,AI 3,1
290,selfplay,300,AI 1,2
291,selfplay,300,AI 4,0
292,selfplay,300,AI 4,3
293,selfplay,300,AI 2,0
294,selfplay,300,AI 4,1
295,selfplay,300,AI 4,0
296,selfplay,300,AI 3,2
297,selfplay,300,AI 4,2
298,selfplay,300,AI 4,1
299,selfplay,300,AI 1,1
300,selfplay,300,AI 3,2
301,selfplay,300,AI 1,3
302,selfplay,300,AI 4,1
303,selfplay,300,AI 2,2
304,selfplay,300,AI 3,2
305,selfplay,300,AI 3,1
306,selfplay,300,AI 3,0
307,selfplay,300,AI 4,0
308,selfplay,300,AI 4,3
309,selfplay,300,AI 2,0
310,selfplay,300,AI 4,1
311,selfplay,300,AI 3,3
312,selfplay,300,AI 4,3
313,selfplay,300,AI 1,3
314,selfplay,300,AI 2,3
315,selfplay,300,AI 3,3
316,selfplay,300,AI 4,3
317,selfplay,300,AI 4,2
318,selfplay,300,AI 1,2
319,selfplay,300,AI 3,3
320,selfplay,300,AI 4,3
321,selfplay,300,AI 1,3
322,selfplay,300,AI 3,0
323,selfplay,300,AI 4,0
324,selfplay,300,AI 3,2
325,selfplay,300,AI 1,3
326,selfplay,300,AI 1,2
327,selfplay,300,AI 3,3
328,selfplay,300,AI 4,3
329,selfplay,300,AI 4,2
330,selfplay,300,AI 1,2
331,selfplay,300,AI 1,1
332,selfplay,300,AI 3,2
333,selfplay,300,AI 4,2
334,selfplay,300,AI 3,0
335,selfplay,300,AI 1,1
336,selfplay,300,AI 2,1
337,selfplay,300,AI 2,0
338,selfplay,300,AI 4,1
339,selfplay,300,AI 3,3
340,selfplay,300,AI 2,1
341,selfplay,300,AI 4,2
342,selfplay,300,AI 2,3
343,selfplay,300,AI 4,0
344,selfplay,300,AI 2,1
345,selfplay,300,AI 3,1
346,selfplay,300,AI 3,0
347,selfplay,300,AI 2,2
348,selfplay,300,AI 4,3
349,selfplay,300,AI 3,1
350,selfplay,300,AI 4,1
351,selfplay,300,AI 2,2
352,selfplay,300,AI 4,3
353,selfplay,300,AI 4,2
354,selfplay,300,AI 3,0
355,selfplay,300,AI 4,0
356,selfplay,300,AI 1,0
357,selfplay,300,AI 3,1
358,selfplay,300,AI 2,3
359,selfplay,300,AI 1,1
360,selfplay,300,AI 2,1
361,selfplay,300,AI 4,2
362,selfplay,300,AI 3,0
363,selfplay,300,AI 1,1
364,selfplay,300,AI 4,3
365,selfplay,300,AI 3,1
366,selfplay,300,AI 1,2
367,selfplay,300,AI 4,0
368,selfplay,300,AI 3,2
369,selfplay,300,AI 2,0
370,selfplay,300,AI 4,1
371,selfplay,300,AI 2,2
372,selfplay,300,AI 1,0
